x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
-2.06091,0.3323429972862365,102513171919.07874,53866226238.93666,6.122115041582389,2.3662998332845193,-0.0127334568719683,0.1031457307696055,1.9647938927580524,5.8799514122046155,True
-1.91709,0.2569341484105143,89406143440.27682,58434511673.74597,5.604023915817562,2.052313335014986,-0.0106621248765837,0.1091937327927348,0.606963512813622,5.261593492751972,True
-1.7793899999999994,0.3086996909415802,105331048207.01436,72333692180.45589,4.039428585707654,1.6156405474556417,-0.0108324149979374,0.101387844401446,-1.9763471012081673,3.882885631469831,True
-1.6401599999999998,0.2430367398136778,111820410236.92552,69677858740.84468,6.092640590539206,2.2487967503209134,-0.0138585907759072,0.1313175381464407,2.4757800942266885,5.7736110984273825,True
-1.5101099999999992,0.3107298677075105,114615821546.82056,84254691665.37738,5.395693685472043,1.985451257071004,-0.0134332258653422,0.1452188757083711,1.0972422230083645,5.262741075156557,True
-1.3739400000000002,0.2456191726892446,116513107751.65352,93145975623.11491,7.142919159614775,2.69892484943576,-0.0155479347356165,0.2242033855510188,2.944035529824362,7.60538645930804,True
-1.2393,0.2841034896845992,117612808219.66388,105573154483.92108,5.422327212562129,2.513316998231903,-0.0138155795757317,0.1952672607842567,0.075326675436557,6.545388229133816,True
-1.10466,0.2750002710708019,147842616185.21313,110920662181.93144,9.915814898813007,3.454626558889853,-0.0230310933388427,0.3165029496108769,10.974930032340437,10.116648324207492,True
-0.9608399999999993,0.2664252507267244,120306194769.40512,146399939914.3866,2.805939212234454,1.616149202970965,-0.0105585361688018,0.1898872904708195,-6.646828813432081,4.179934035438752,True
-0.8216099999999997,0.2899146684815435,192600616596.87592,190998064953.16592,2.999862797869733,2.24078124740217,-0.01739207791994,0.2925415741639739,-8.93187793213123,4.822369260219554,True
-0.6961499999999994,0.2658244482930442,171136681880.87518,165555880927.87018,6.678266294481265,3.0857076710163227,-0.0221320264042487,0.4347511101444409,-0.7873082666664935,8.379425496990097,True
-0.5324400000000002,0.3005492726016391,203060592783.18335,176066341593.40698,7.010470166308171,3.4598644964135508,-0.0268613293570576,0.448265940023451,1.064472154510899,8.731146566915355,True
-0.4100399999999995,0.2830419723524541,199246421966.4192,211447009426.5901,4.80544540552223,2.6204590827540972,-0.0221523470009156,0.4260385745698486,-4.210475172982164,6.48700572839894,True
-0.2769300000000001,0.2915192947963307,238205048991.01895,188918332752.0186,6.9513665494269805,2.442078161318136,-0.0313860900232811,0.6607336469240831,-6.27898023828673,7.143777976497082,False
-0.26468999999999987,0.2513733163313675,220696731954.53735,220939361779.68085,8.464049008609017,3.874477803169839,-0.0318945370681556,0.7330645252680575,1.879121723109932,11.024305798240746,False
-0.14687999999999946,0.2929621482301321,222710013352.9963,246780823592.5208,8.499174455477498,3.7471700760185858,-0.0322484888854886,0.9462744995745936,-1.4632582898433346,11.948662096590994,False
-0.11934000000000022,0.299633096539065,244116791860.09088,234178418180.20883,8.759374623293311,3.026142697931684,-0.035855581586536,1.030382535040368,-4.122981070308571,10.052823693534842,False
0.0,0.3057328345570512,263412149016.40976,229626180188.12775,7.32533919867577,2.4451394970161298,-0.0355676913729218,0.7968245672191058,-4.142957440537555,7.878047797009789,False
0.11934000000000022,0.299633096539065,244116791860.09088,234178418180.20883,8.759374623293311,3.026142697931684,-0.035855581586536,1.030382535040368,-4.122981070308571,10.052823693534842,False
0.14687999999999946,0.2929621482301321,222710013352.9963,246780823592.5208,8.499174455477498,3.7471700760185858,-0.0322484888854886,0.9462744995745936,-1.4632582898433346,11.948662096590994,False
0.26468999999999987,0.2513733163313675,220696731954.53735,220939361779.68085,8.464049008609017,3.874477803169839,-0.0318945370681556,0.7330645252680575,1.879121723109932,11.024305798240746,False
0.2769300000000001,0.2915192947963307,238205048991.01895,188918332752.0186,6.9513665494269805,2.442078161318136,-0.0313860900232811,0.6607336469240831,-6.27898023828673,7.143777976497082,False
0.4100399999999995,0.2830419723524541,199246421966.4192,211447009426.5901,4.80544540552223,2.6204590827540972,-0.0221523470009156,0.4260385745698486,-4.210475172982164,6.48700572839894,False
0.5324400000000002,0.3005492726016391,203060592783.18335,176066341593.40698,7.010470166308171,3.4598644964135508,-0.0268613293570576,0.448265940023451,1.064472154510899,8.731146566915355,False
0.6961499999999994,0.2658244482930442,171136681880.87518,165555880927.87018,6.678266294481265,3.0857076710163227,-0.0221320264042487,0.4347511101444409,-0.7873082666664935,8.379425496990097,False
0.8216099999999997,0.2899146684815435,192600616596.87592,190998064953.16592,2.999862797869733,2.24078124740217,-0.01739207791994,0.2925415741639739,-8.93187793213123,4.822369260219554,False
0.9608399999999993,0.2664252507267244,120306194769.40512,146399939914.3866,2.805939212234454,1.616149202970965,-0.0105585361688018,0.1898872904708195,-6.646828813432081,4.179934035438752,False
1.10466,0.2750002710708019,147842616185.21313,110920662181.93144,9.915814898813007,3.454626558889853,-0.0230310933388427,0.3165029496108769,10.974930032340437,10.116648324207492,False
1.2393,0.2841034896845992,117612808219.66388,105573154483.92108,5.422327212562129,2.513316998231903,-0.0138155795757317,0.1952672607842567,0.075326675436557,6.545388229133816,False
1.3739400000000002,0.2456191726892446,116513107751.65352,93145975623.11491,7.142919159614775,2.69892484943576,-0.0155479347356165,0.2242033855510188,2.944035529824362,7.60538645930804,False
1.5101099999999992,0.3107298677075105,114615821546.82056,84254691665.37738,5.395693685472043,1.985451257071004,-0.0134332258653422,0.1452188757083711,1.0972422230083645,5.262741075156557,False
1.6401599999999998,0.2430367398136778,111820410236.92552,69677858740.84468,6.092640590539206,2.2487967503209134,-0.0138585907759072,0.1313175381464407,2.4757800942266885,5.7736110984273825,False
1.7793899999999994,0.3086996909415802,105331048207.01436,72333692180.45589,4.039428585707654,1.6156405474556417,-0.0108324149979374,0.101387844401446,-1.9763471012081673,3.882885631469831,False
1.91709,0.2569341484105143,89406143440.27682,58434511673.74597,5.604023915817562,2.052313335014986,-0.0106621248765837,0.1091937327927348,0.606963512813622,5.261593492751972,False
2.06091,0.3323429972862365,102513171919.07874,53866226238.93666,6.122115041582389,2.3662998332845193,-0.0127334568719683,0.1031457307696055,1.9647938927580524,5.8799514122046155,False
2.2139099999999994,0.3097041082643724,78517682002.19661,49669054830.40746,4.877209892813295,1.6919592035790094,-0.0087884898194285,0.0878468938657459,-1.6713077870920503,4.418440348684579,False
2.3194799999999995,0.2904494342782397,87511725103.7485,48154338253.47431,3.8959181545025383,1.586268455024784,-0.0088564430368438,0.0622425362219263,-1.8245826702445205,3.586427550004059,False
2.48778,0.3073875710315597,75266900634.3678,43149693911.76506,5.1990351790175096,2.069365269931499,-0.008673072792142,0.0747122939068223,-0.2452108999023236,5.0172637150207064,False
2.6101799999999997,0.2239447094339045,79264934959.58589,38971424443.641464,4.758788039777499,1.8536433538147508,-0.0087738909134797,0.0554541316848782,0.5049938671455134,4.36869006663091,False
2.7631799999999993,0.3591820305470979,72264033852.6478,40218247445.2122,4.497286161263785,1.930875773994745,-0.0077975397962309,0.0566985465766348,-0.4387448358122797,4.523717044887899,False
2.87334,0.1698424045566514,69349522327.68839,39700957212.498,3.996488961386812,1.8099723098090847,-0.0070982048626783,0.0490250138961333,-0.8924364911911105,4.102310242197019,False
3.0049199999999994,0.3480927958819061,43964574988.965775,33713629936.7641,5.820649577846741,1.86636808022992,-0.0053352162283074,0.0665690991676841,0.8991838639380971,5.846462093172046,False
3.1441500000000007,0.1898014764803857,59657073948.73952,31819932282.10525,5.67340641502292,1.637743183706311,-0.0071547204956991,0.0527059141271774,2.778913082751448,4.234552688309778,False
3.28491,0.3522393783387224,45005052186.00459,32894059536.904953,5.910679039463695,2.285052265372322,-0.0055002391898523,0.0619785611664125,1.84823301285255,6.305887896807162,False
3.4516800000000005,0.2879150918694655,47624567952.3778,28049527770.502106,6.8476612297705,2.094279760590748,-0.0062312317070752,0.0539844009582543,5.398604165443133,5.72914806014303,False
3.569489999999999,0.2348607716530867,34520597672.95821,29812407380.516403,5.5263835034963185,2.075715234823953,-0.0040904866413384,0.0539424600476358,1.016676001895357,6.358321037018536,False
3.71943,0.4173409355100926,50066088433.94747,32699218706.14125,4.590622534996084,2.230525080365898,-0.0054525216615643,0.0453048262597464,0.2729966314043432,5.223269185653456,False
3.861719999999999,0.138526406907733,31597594327.99272,32522073218.804382,3.6642150075849607,2.1183707486342884,-0.0031123532348201,0.0432092671360314,-2.908011061004735,5.501951453675973,False
3.98412,0.3703549338849621,55438318928.33718,35871607710.44193,1.9718009862845924,1.2196146806058394,-0.0042071218713093,0.0239075922293441,-3.561656381425341,2.3071697240120694,False
4.134059999999999,0.3260359217499455,41608585254.13495,41233788206.95214,1.4613030794678752,1.1326860247538215,-0.0028127011723136,0.0268546666582537,-5.654927234524733,2.059697724174745,False
4.27635,0.1400831947509928,53173883389.13846,45892112814.77803,1.1229198952056316,1.2924768179873631,-0.0032697549849686,0.0217470257229705,-5.303160244449673,2.3438372039540942,False
4.38651,0.3743063697083253,31915368643.837177,40810173834.0187,1.0704396512396164,1.3999022673675392,-0.0019305398948683,0.0206348140407966,-5.673230471765295,2.3459977499813993,False
4.5639899999999995,0.3022373835877706,37933873564.542435,24768352377.20521,3.7730130977744354,1.391652479410583,-0.0037849713280102,0.0217288854542894,2.284016937678247,3.3453795694924175,False
4.6925099999999995,0.1632219530912183,30280763831.222645,23031809210.517178,3.5332390283782793,1.3029850419807243,-0.0029353648958263,0.0206334463313553,1.1873111841777193,3.417292940591193,False
4.824089999999999,0.3195547181946424,29178949512.48757,19243039286.12128,4.721610344203107,1.9475762090857112,-0.0032184011311234,0.0197270207883624,4.511344326825395,4.720870753772217,False
4.97097,0.357362163416989,29684215686.01062,21377412249.778633,3.2623341001426676,1.7967953735618734,-0.0027792175755376,0.0129129048675211,3.0065427924793067,3.8660377887995754,False
5.1102,0.204472942953031,17423509349.887413,20558780973.84541,2.9951616210396343,2.1318344669166107,-0.0015723077454017,0.0135318792963419,1.4920688176638952,4.975510117371199,False
5.23107,0.1974851926537992,22362648776.320087,22692988430.210197,2.175256838240481,2.04314074972631,-0.0017655266356141,0.0098274003588838,0.6726431777279317,4.107956934801919,False
5.36418,0.3134981323374328,12821115385.002916,23002835165.773975,1.7342847856351284,1.897703455596943,-0.0009250460699685,0.0084381569197504,0.0614311820207277,4.070815846226298,False
5.524830000000001,0.3455417221068879,35603822489.08462,31066475990.257637,0.776491796746038,0.9666581354314632,-0.0019416633395982,0.0079608290284504,-2.811984816153762,1.50612906830214,False
5.64876,0.2378048861532732,8562424591.602784,30110713949.606293,0.6685407514094658,1.6595343456095382,-0.000446773062985,0.0082193473065855,-3.2449853080373967,3.3392777653279047,False
5.79258,0.2579869202231707,28765051870.441425,49898776436.9594,0.245944628164188,1.817966564691115,-0.0011991865435276,0.0060797299096177,-3.3225652645742394,4.068063871638247,False
5.957819999999999,0.5044055659440593,6305778900.309562,33965846150.446243,0.2907654397353809,1.543203007999412,-0.0002706642324783,0.0063543567564777,-3.4474336674953454,2.493911982432517,False
