x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sc (eV),V_sc error (eV),synthetic
0.7359299999999998,0.4602717518585669,234677396402.958,246189962373.74545,6.168637202371561,2.7383585798659835,-0.0292521705208683,0.9032299859238062,-11.513296889693349,7.728305231538224,False
0.8889300000000002,0.3756993309682529,144613793915.65262,86185701001.68748,4.09254954597509,2.03105285394651,-0.0149590817193286,0.231491410485967,-15.748044539579633,3.462349671245546,False
1.0174499999999993,0.1778217117218473,247599386241.61688,228587804199.29205,5.580066019155451,2.3507758392913756,-0.029469447991531,0.7023444064559147,-9.66356706568105,6.090720530909314,False
1.1520900000000003,0.2576983355315661,226643435399.88605,226457533789.3005,5.991894394199569,2.6281117525066,-0.0278738627522806,0.7575953988341418,-9.805877804420003,7.013183087875669,False
1.2882600000000002,0.4805438669469947,156999455370.12738,143529365077.0914,3.6854331733803063,1.8883843260555349,-0.0155037458888692,0.3490520751417407,-14.367085386477392,4.253650767527404,False
1.4504400000000004,0.3757152312700542,201855793444.778,185540836967.4289,5.346890359393777,2.566444963779011,-0.0235598208215997,0.5288676116092937,-9.116593375961788,6.265046601348958,False
1.5804900000000002,0.1680235800932512,174913212376.30267,194470053506.22464,4.291085309001138,2.356951146074655,-0.0184802506564245,0.4595254807526993,-10.060071061971682,5.625867638819503,False
1.7013600000000002,0.2807740941854291,154347552984.33655,159271280709.00644,6.21989199200956,2.97113506112495,-0.019312975278906,0.4976882354293623,-6.909980800783285,8.217010844506637,False
1.8589499999999992,0.4457100380990425,104777999756.05388,56863599211.560005,1.3290026890535882,0.9030301692732924,-0.0068398340518019,0.0662775770689803,-16.13363025297706,0.9083434166891866,False
2.02266,0.3472620654249353,142439739680.50165,129615310747.82104,4.957253840835122,2.1020684992494267,-0.0160615161417427,0.3254925566801181,-7.912631044098363,5.618704962169957,False
2.1481199999999996,0.1902087111613239,139962192669.93408,134752563060.40073,3.0071999640257983,1.3017725321994882,-0.0126520031453537,0.2379367516589339,-10.874045618914488,3.4435813490538703,False
2.265929999999999,0.2544401277443078,93255572697.719,61160169990.9255,1.7107065817472122,0.9524011621608928,-0.0066928121436636,0.0795174990413052,-14.064322394764686,1.4201820906592657,False
2.4204600000000003,0.4624892614355121,121877651532.18806,144540194847.8429,2.2398778001602437,1.4356473646656336,-0.0097377352680325,0.2213726907304527,-12.928149380116436,3.2898210437342836,False
2.5948800000000007,0.4259148943818563,131379171007.3632,147127615332.34982,3.0927030075339665,2.1324541973440736,-0.0120200276186813,0.2345580313130001,-8.79064251498123,4.6184226096226695,False
2.7310500000000006,0.2218932404981571,97438201064.54388,110798439212.80814,4.1134890645926045,1.9000878432582349,-0.0101021146872254,0.2248203102850817,-7.547082506401062,5.486478051442273,False
2.8595700000000006,0.2162875836068622,104148954922.5757,113709750566.14388,3.1941475012672305,1.5110882159417738,-0.0096622956508575,0.1799612940926302,-7.766871822567295,4.064434760626507,False
2.9819699999999996,0.404369423894498,106509427238.01706,110225695375.0029,3.7524475434908866,2.00188942973216,-0.0106017075843718,0.1930504314485894,-6.802111874586648,4.714414498039382,False
3.171690000000001,0.4785287071635519,105096829749.00056,101621950169.08582,2.812124517215248,1.4027938989485231,-0.0092323281623568,0.1304836538469769,-6.524384709923284,3.1867155157701252,False
3.2971499999999994,0.2072357285930081,94276454139.54855,78319758455.54762,3.2794213035431845,1.4034303576473768,-0.0088467587191034,0.1159225543495354,-6.328835697522094,3.268845100213281,False
3.440970000000001,0.1924504842088597,99956121122.58356,80278338212.53769,2.9087012083818964,1.1594984705782003,-0.0089078347445151,0.0957957719913071,-4.950069035340401,2.829334825574417,False
3.54807,0.3878364470572245,89557502233.39246,79709162142.5463,2.868031755942096,1.3229729101583123,-0.0079333817171558,0.088087127136,-4.159277301591049,3.0502557843877436,False
3.7209600000000007,0.4842622973155521,90575144691.2994,66712164244.430695,2.408205643247446,1.0992480900297368,-0.0074557250268963,0.0574024509574773,-3.558244502549618,2.2420643499509003,False
3.8816099999999993,0.2316588894255117,73766421584.20453,62679005320.250786,2.066023698938223,0.9720899951923712,-0.0057037087044538,0.0458709762530245,-3.4688417859816667,2.0717712607671492,False
3.997889999999999,0.1727139149420337,74716494029.35696,52931910137.314926,2.4301658264793464,1.2920366219691553,-0.0061734917789018,0.037494458891671,-1.6927524168974757,2.6140344917463314,False
4.10499,0.3891781659611716,54924241481.792816,40800618262.064285,1.8399642313301896,0.9601853407406278,-0.0040554305361811,0.0220702459949029,-2.0482975947470505,1.8441853672561803,False
4.290119999999999,0.3441599329859212,47422002751.92426,26132075046.699493,2.11004039628018,0.9726900672922828,-0.0036980416275083,0.0145850383366923,-1.2270907864679703,1.8941752762892956,False
4.42476,0.2084241184258236,33730955278.048656,20095593182.76576,2.2377147538072295,0.6870060402524274,-0.0026939592904792,0.0123840804773257,-1.1230668639906296,1.5956742021220267,False
4.53339,0.2550432961415314,52957307766.563095,20594623613.18685,1.4287541063290254,0.5191341233857394,-0.0035500348778848,0.0082290409135487,-2.0036901938833105,0.9189479409052548,False
4.68945,0.3296343470839068,42074529553.047226,19783515890.56494,1.6363322188091405,0.6252856687631279,-0.0029683967913292,0.0092163418698026,-1.980693065186917,1.136553111285369,False
4.831740000000001,0.296466994886218,46428617588.94703,23703662312.19025,1.3935508407813906,0.4808398500613795,-0.0030838449006193,0.0089368933208856,-1.600972468958022,0.8842052798622825,False
4.992389999999999,0.2645634557158673,22526779229.99124,21976484249.14927,1.0173995161743576,0.8310766624962973,-0.001339421799943,0.0064869929418441,-2.0305260281793327,1.391120176110059,False
5.104080000000001,0.3046664669178544,30337848080.37605,23282597260.773228,0.5850177853326088,0.7439127833808516,-0.0015253569683185,0.0045813289963914,-2.523776182387965,1.165374970354328,False
5.28156,0.3428632012033603,19254158831.78045,16612604327.859,1.1154374124619562,0.754039238877175,-0.0011812393556037,0.004251932187858,-0.876451338842104,1.2562033930512773,False
5.408549999999999,0.284121001892853,18486227391.934372,16653218461.160624,1.0001777488469836,1.381538461523797,-0.0010929189097609,0.0031780188052593,-0.6439270351771991,2.6613769235580347,False
