x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
3.2099400000000013,0.1927662540476406,85912418837.38289,30740954319.680557,1.841577664356398,0.7084128979567357,-0.0063227232840228,0.0139506805545323,-1.2331224137501609,0.9494525227099057,False
3.26196,0.2966985539460372,89122740942.13708,33341874694.60023,1.4272980573274667,0.4819362385366852,-0.0059505474357586,0.0116436976951648,-1.1896910509388012,0.8347032329102508,False
3.50676,0.439626425655898,78738308423.61526,38080264689.66588,0.5661358260832069,0.2876272650315447,-0.0039100858624067,0.004870561149213,-0.7945683769724294,0.32273618195915,False
3.6505800000000015,0.1536578586425985,75397486060.868,28771519707.95339,1.3884738090754687,0.6356656360442852,-0.0049831767757096,0.0066993994672038,0.35168788178556,0.9813347421816204,False
3.76839,0.2897829420132958,74259533449.99364,37402228556.69203,0.3919491140398875,0.3136897924369953,-0.0033729989091069,0.0051283601835422,-1.89492396561019,0.2869477968435632,False
3.9366900000000005,0.4489775875065622,68748431604.37685,32354069346.992542,0.6304111750522792,0.4563556600053384,-0.0035154017215532,0.0031739748822693,0.0080780525793044,0.8318695441172373,False
4.082040000000001,0.162661567391057,42599400702.4968,27465936779.50698,0.74407856350426,0.412421168559936,-0.0022851848595624,0.003263722059096,0.1666711321732958,0.6592875924174405,False
4.20903,0.2368250657951651,39619087129.26847,25865214518.185436,0.8022367354303116,0.8782076044363861,-0.0021744197347484,0.0030587864472569,0.0802666608267766,1.7952376926522686,False
4.351319999999999,0.4480557348290646,34063804524.432945,168380503531.49786,0.1000000000857189,5.734602547082348,-0.0012690032146766,0.0013188204978521,-0.0890536458174946,6.3673617570137555,False
4.505850000000001,0.2578588452511794,33254760138.962704,19149229919.49939,1.1773320472691926,0.960533668416104,-0.0020713681170024,0.0019683451225934,1.901548174032874,2.154111185855867,False
4.646610000000001,0.1784348063548743,11066061508.530716,13887879531.944298,2.108066838316383,1.944106348721561,-0.0008595009944749,0.0044486083681534,2.11711987037093,4.03668316699284,False
4.7567699999999995,0.4212514025117883,13347170042.643278,12080549411.165289,4.134089864946833,4.592638408615842,-0.001381864195458,0.0017011730580318,11.121585236174209,11.060141210208805,False
4.93731,0.3323027143155277,5796104004.441177,9123995482.474169,9.749653434540624,11.740883189210388,-0.0008924516677901,0.0058335204060468,24.903826752539004,32.43009969097531,False
5.029109999999999,0.1583039368310396,7756838478.910386,12935325754.66072,5.25536049861716,12.962087868737076,-0.000894983356801,0.0027981555733342,18.14064826559483,35.12541429450971,False
5.180580000000001,0.449786458548596,947726450.816916,9705825778.684671,1.5784376142580183,13.977872437928896,-6.571211471793628e-05,0.0007577388426373,4.652358923262414,19.16414675964566,False
5.364179999999999,0.3928930224530697,7422758568.308383,29261250435.1493,0.1095518336341631,2.797040602741545,-0.0002787177331329,0.0020785755100207,2.452951856548418,6.505634002908174,False
