Time (s),TC1 (C),TC2 (C)
0.0,23.0,19.0
0.015,23.0,19.0
0.03,23.0,19.0
0.045,23.0,19.0
0.06,23.0,19.0
0.075,23.0,19.0
0.09,23.0,19.0
0.105,23.0,19.0
0.12,23.0,19.0
0.135,23.0,19.0
0.15,23.0,19.25
0.165,23.0,19.25
0.18,23.0,19.25
0.195,23.0,19.25
0.21,23.0,19.25
0.225,23.0,19.0
0.24,23.0,19.0
0.255,23.0,19.0
0.27,23.0,19.0
0.285,23.0,19.0
0.3,23.0,19.5
0.315,23.0,19.5
0.33,23.0,19.5
0.345,23.0,19.5
0.36,23.0,19.5
0.375,23.0,19.75
0.39,23.0,19.75
0.405,23.0,19.75
0.42,23.0,19.75
0.435,23.0,19.75
0.45,23.0,22.0
0.465,23.0,22.0
0.48,23.0,22.0
0.495,23.0,22.0
0.51,23.0,22.0
0.525,23.0,26.0
0.54,23.0,26.0
0.555,23.0,26.0
0.57,23.0,26.0
0.585,23.0,26.0
0.6,23.0,30.0
0.615,23.0,30.0
0.63,23.0,30.0
0.645,23.0,30.0
0.66,23.0,30.0
0.675,23.0,33.5
0.69,23.0,33.5
0.705,23.0,33.5
0.72,23.0,33.5
0.735,23.0,33.5
0.75,23.0,36.75
0.765,23.0,36.75
0.78,23.0,36.75
0.795,23.0,36.75
0.81,23.0,36.75
0.825,23.0,39.25
0.84,23.0,39.25
0.855,23.0,39.25
0.87,23.0,39.25
0.885,23.0,39.25
0.9,23.0,41.25
0.915,23.0,41.25
0.93,23.0,41.25
0.945,23.0,41.25
0.96,23.0,41.25
0.975,23.0,42.75
0.99,23.0,42.75
1.005,23.0,42.75
1.02,23.0,42.75
1.035,23.0,44.0
1.05,23.0,44.0
1.065,23.0,44.0
1.08,23.0,44.0
1.095,23.0,44.0
1.11,23.0,45.25
1.125,23.0,45.25
1.14,23.0,45.25
1.155,23.0,45.25
1.17,23.0,45.25
1.185,23.0,46.0
1.2,23.0,46.0
1.215,23.0,46.0
1.23,23.0,46.0
1.245,23.0,46.0
1.26,23.0,46.75
1.275,23.0,46.75
1.29,23.0,46.75
1.305,23.0,46.75
1.32,23.0,46.75
1.335,23.0,47.5
1.35,23.0,47.5
1.365,23.0,47.5
1.38,23.0,47.5
1.395,23.0,47.5
1.41,23.0,48.0
1.425,23.0,48.0
1.44,23.0,48.0
1.455,23.0,48.0
1.47,23.0,48.0
1.485,23.0,48.25
1.5,23.0,48.25
1.515,23.0,48.25
1.53,23.0,48.25
1.545,23.0,48.25
1.56,23.0,48.5
1.575,23.0,48.5
1.59,23.0,48.5
1.605,23.0,48.5
1.62,23.0,48.5
1.635,23.0,48.75
1.65,23.0,48.75
1.665,23.0,48.75
1.68,23.0,48.75
1.695,23.0,48.75
1.71,23.0,49.0
1.725,23.0,49.0
1.74,23.0,49.0
1.755,23.0,49.0
1.77,23.0,49.0
1.785,23.0,49.25
1.8,23.0,49.25
1.815,23.0,49.25
1.83,23.0,49.25
1.845,23.0,49.25
1.86,23.0,49.5
1.875,23.0,49.5
1.89,23.0,49.5
1.905,23.0,49.5
1.92,23.0,49.5
1.935,23.0,49.5
1.95,23.0,49.5
1.965,23.0,49.5
1.98,23.0,49.5
1.995,23.0,49.5
2.01,23.0,49.75
2.025,23.0,49.75
2.04,23.0,49.75
2.055,23.0,49.75
2.07,23.0,49.75
2.085,23.0,49.75
2.1,23.0,49.75
2.115,23.0,49.75
2.13,23.0,49.75
2.145,23.0,49.75
2.16,23.0,49.75
2.175,23.0,49.75
2.19,23.0,49.75
2.205,23.0,49.75
2.22,23.0,49.75
2.235,23.0,50.0
2.25,23.0,50.0
2.265,23.0,50.0
2.28,23.0,50.0
2.295,23.0,50.0
2.31,23.0,50.0
2.325,23.0,50.0
2.34,23.0,50.0
2.355,23.0,50.0
2.37,23.0,50.0
2.385,23.0,50.0
2.4,23.0,50.0
2.415,23.0,50.0
2.43,23.0,50.0
2.445,23.0,50.0
2.46,23.0,50.0
2.475,23.0,50.0
2.49,23.0,50.0
2.505,23.0,50.0
2.52,23.0,50.0
2.535,23.0,50.0
2.55,23.0,50.0
2.565,23.0,50.0
2.58,23.0,50.0
2.595,23.0,50.0
2.61,23.0,50.0
2.625,23.0,50.0
2.64,23.0,50.0
2.655,23.0,50.0
2.67,23.0,50.0
2.685,23.0,50.0
2.7,23.0,50.0
2.715,23.0,50.0
2.73,23.0,50.0
2.745,23.0,50.0
2.76,23.0,50.25
2.775,23.0,50.25
2.79,23.0,50.25
2.805,23.0,50.25
2.82,23.0,50.25
2.835,23.0,50.25
2.85,23.0,50.25
2.865,23.0,50.25
2.88,23.0,50.25
2.895,23.0,50.25
2.91,23.0,50.0
2.925,23.0,50.0
2.94,23.0,50.0
2.955,23.0,50.0
2.97,23.0,50.0
2.985,23.0,50.25
3.0,23.0,50.25
3.015,23.0,50.25
3.03,23.0,50.25
3.045,23.0,50.0
3.06,23.0,50.0
3.075,23.0,50.0
3.09,23.0,50.0
3.105,23.0,50.0
3.12,23.0,50.0
3.135,23.0,50.0
3.15,23.0,50.0
3.165,23.0,50.0
3.18,23.0,50.0
3.195,23.0,50.0
3.21,23.0,50.0
3.225,23.0,50.0
3.24,23.0,50.0
3.255,23.0,50.0
3.27,23.0,50.0
3.285,23.0,50.0
3.3,23.0,50.0
3.315,23.0,50.0
3.33,23.0,50.0
3.345,23.0,50.0
3.36,23.0,50.0
3.375,23.0,50.0
3.39,23.0,50.0
3.405,23.0,50.0
3.42,23.0,50.0
3.435,23.0,50.0
3.45,23.0,50.0
3.465,23.0,50.0
3.48,23.0,50.0
3.495,23.0,50.0
3.51,23.0,50.0
3.525,23.0,50.0
3.54,23.0,50.0
3.555,23.0,50.0
3.57,23.0,50.0
3.585,23.0,50.0
3.6,23.0,50.0
3.615,23.0,50.0
3.63,23.0,50.0
3.645,23.0,50.0
3.66,23.0,50.0
3.675,23.0,50.0
3.69,23.0,50.0
